Fecha,Cine,Tipo_Sala,Cantidad_Boletos,Total_Venta,Cliente_ID
3/1/2025,Cinépolis La Nogalera,Tradicional,3,240,6191
3/1/2025,Cinépolis La Nogalera,Tradicional,5,400,6734
3/1/2025,Cinépolis VIP Sendero Saltillo,VIP,3,492,5426
3/1/2025,Cinépolis Paseo Villalta,Tradicional,5,400,9322
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,5,400,1769
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,6311
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,5,820,2184
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,7396
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,1,164,9666
3/1/2025,Cinépolis Paseo Villalta,Tradicional,2,160,3047
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,4,656,1189
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,3,240,2899
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,1,164,4556
3/1/2025,Cinépolis Paseo Villalta,Tradicional,5,400,6393
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,1,164,9433
3/1/2025,Cinépolis VIP Sendero Saltillo,VIP,1,164,8513
3/1/2025,Cinépolis La Nogalera,Tradicional,2,160,7235
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,4,656,1775
3/1/2025,Cinépolis Paseo Villalta,Tradicional,1,80,2585
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,2021
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,2,160,4843
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,5,400,7873
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,2,328,5297
3/1/2025,Cinépolis Sendero Saltillo Sur,Tradicional,4,320,8629
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,1,164,8869
3/1/2025,Cinépolis La Nogalera,Tradicional,5,400,9529
3/1/2025,Cinépolis La Nogalera,Tradicional,2,160,5859
3/1/2025,Cinépolis VIP Paseo Villalta,VIP,4,656,9684
3/1/2025,Cinépolis Sendero Saltillo,Tradicional,5,400,3062
3/1/2025,Cinépolis La Nogalera,Tradicional,1,80,9006
3/1/2025,Cinépolis Sendero Saltillo,Tradicional,1,80,3027
3/1/2025,Cinépolis Paseo Villalta,Tradicional,3,240,7736
